farm,cur_date,muEMB,sigEMB,prop_ext
1,2017-09-05 00:00:00,3.78697263992,0.672341820018,0.332371682988
2,2017-09-05 00:00:00,3.78341365087,0.67224072269,0.332371682988
3,2017-09-05 00:00:00,3.78112534878,0.670616035675,0.332371682988
4,2017-09-05 00:00:00,3.78243137629,0.669078421175,0.332371682988
5,2017-09-05 00:00:00,3.77705845097,0.6705410931,0.332371682988
6,2017-09-05 00:00:00,3.77700169808,0.67254610458,0.332371682988
7,2017-09-05 00:00:00,3.77681777592,0.673174716905,0.332371682988
8,2017-09-05 00:00:00,3.78100342705,0.671758851543,0.332371682988
9,2017-09-05 00:00:00,3.78185775723,0.668020998045,0.332371682988
1,2017-10-10 00:00:00,3.95213839529,0.667288978566,0.0910047368906
2,2017-10-10 00:00:00,3.95743570208,0.669399846211,0.0910047368906
3,2017-10-10 00:00:00,3.95527309853,0.666952809597,0.0910047368906
4,2017-10-10 00:00:00,3.95058892795,0.669189328151,0.0910047368906
5,2017-10-10 00:00:00,3.95189390722,0.666463014636,0.0910047368906
6,2017-10-10 00:00:00,3.95107658224,0.668821497283,0.0910047368906
7,2017-10-10 00:00:00,3.9523880602,0.669323829964,0.0910047368906
8,2017-10-10 00:00:00,3.94921792196,0.670203038166,0.0910047368906
9,2017-10-10 00:00:00,3.95602341102,0.667227037342,0.0910047368906
1,2017-11-14 00:00:00,4.14729998703,0.646552203516,0.0659028837284
2,2017-11-14 00:00:00,4.14730465873,0.646697760385,0.0659028837284
3,2017-11-14 00:00:00,4.14835489847,0.647233467755,0.0659028837284
4,2017-11-14 00:00:00,4.14766545985,0.647722411263,0.0659028837284
5,2017-11-14 00:00:00,4.14518513665,0.648363221906,0.0659028837284
6,2017-11-14 00:00:00,4.14888932792,0.646602810703,0.0659028837284
7,2017-11-14 00:00:00,4.14534827389,0.64667976928,0.0659028837284
8,2017-11-14 00:00:00,4.14891659279,0.646553703573,0.0659028837284
9,2017-11-14 00:00:00,4.14670039534,0.647697163239,0.0659028837284
1,2017-12-19 00:00:00,4.30872302156,0.63932067117,0.0643506605029
2,2017-12-19 00:00:00,4.30922035947,0.639150231614,0.0643506605029
3,2017-12-19 00:00:00,4.30800234317,0.638665469991,0.0643506605029
4,2017-12-19 00:00:00,4.30645568411,0.639659546963,0.0643506605029
