farm,cur_date,muEMB,sigEMB,prop_ext
1,2017-09-05 00:00:00,3.7719795456,0.664521210758,0.326334691622
2,2017-09-05 00:00:00,3.77625928981,0.667960752593,0.326334691622
3,2017-09-05 00:00:00,3.77004448638,0.67025266065,0.326334691622
4,2017-09-05 00:00:00,3.77402437836,0.669986644184,0.326334691622
5,2017-09-05 00:00:00,3.77916854258,0.671114885737,0.326334691622
6,2017-09-05 00:00:00,3.77337698964,0.667744349784,0.326334691622
7,2017-09-05 00:00:00,3.77711424825,0.669150604395,0.326334691622
8,2017-09-05 00:00:00,3.78414054898,0.66880316533,0.326334691622
9,2017-09-05 00:00:00,3.77234122307,0.667184161834,0.326334691622
1,2017-10-10 00:00:00,3.93391213024,0.670007494278,0.105325481625
2,2017-10-10 00:00:00,3.93343022505,0.668450399205,0.105325481625
3,2017-10-10 00:00:00,3.93480449565,0.670244381821,0.105325481625
4,2017-10-10 00:00:00,3.93582918386,0.671046176719,0.105325481625
5,2017-10-10 00:00:00,3.93566716637,0.667870229519,0.105325481625
6,2017-10-10 00:00:00,3.9340687204,0.669597030617,0.105325481625
7,2017-10-10 00:00:00,3.93315472239,0.668810202324,0.105325481625
8,2017-10-10 00:00:00,3.93355688036,0.671148892721,0.105325481625
9,2017-10-10 00:00:00,3.93568699775,0.668757084997,0.105325481625
1,2017-11-14 00:00:00,4.10797465644,0.651358006381,0.103426543495
2,2017-11-14 00:00:00,4.11130964571,0.649380680429,0.103426543495
3,2017-11-14 00:00:00,4.10914555686,0.650457153255,0.103426543495
4,2017-11-14 00:00:00,4.10894730416,0.651324259598,0.103426543495
5,2017-11-14 00:00:00,4.1099745474,0.652183906483,0.103426543495
6,2017-11-14 00:00:00,4.10873393864,0.650248935894,0.103426543495
7,2017-11-14 00:00:00,4.10786245157,0.65062926143,0.103426543495
8,2017-11-14 00:00:00,4.11180640511,0.65032463877,0.103426543495
9,2017-11-14 00:00:00,4.108531547,0.652163551878,0.103426543495
1,2017-12-19 00:00:00,4.2493219826,0.649636960478,0.115812077522
2,2017-12-19 00:00:00,4.24963041529,0.649015556649,0.115812077522
3,2017-12-19 00:00:00,4.24807014368,0.648394122738,0.115812077522
4,2017-12-19 00:00:00,4.24885253444,0.649374829261,0.115812077522
5,2017-12-19 00:00:00,4.24952124155,0.649106161437,0.115812077522
6,2017-12-19 00:00:00,4.24792155816,0.649463824185,0.115812077522
7,2017-12-19 00:00:00,4.24820073942,0.649726167678,0.115812077522
8,2017-12-19 00:00:00,4.24901652879,0.64887745067,0.115812077522
9,2017-12-19 00:00:00,4.24855782494,0.648860285954,0.115812077522
1,2018-01-23 00:00:00,4.3619228491,0.64325513575,0.154460854222
2,2018-01-23 00:00:00,4.36232860862,0.644064913481,0.154460854222
3,2018-01-23 00:00:00,4.36322852108,0.644141330123,0.154460854222
4,2018-01-23 00:00:00,4.36208043407,0.643146055709,0.154460854222
5,2018-01-23 00:00:00,4.36278520432,0.643558893064,0.154460854222
6,2018-01-23 00:00:00,4.36260354401,0.644038555326,0.154460854222
7,2018-01-23 00:00:00,4.36244984555,0.643747108668,0.154460854222
8,2018-01-23 00:00:00,4.36365241757,0.644111939792,0.154460854222
9,2018-01-23 00:00:00,4.36255087198,0.643744696712,0.154460854222
1,2018-02-27 00:00:00,4.46492553406,0.643676513791,0.166674202146
2,2018-02-27 00:00:00,4.466144631,0.644403694222,0.166674202146
3,2018-02-27 00:00:00,4.46611304053,0.643624068307,0.166674202146
4,2018-02-27 00:00:00,4.46628155682,0.643486430628,0.166674202146
5,2018-02-27 00:00:00,4.46709381107,0.644494087779,0.166674202146
6,2018-02-27 00:00:00,4.46647587303,0.643654805328,0.166674202146
7,2018-02-27 00:00:00,4.46658932201,0.644360938677,0.166674202146
8,2018-02-27 00:00:00,4.46675979337,0.64461793075,0.166674202146
9,2018-02-27 00:00:00,4.46648315447,0.643973609236,0.166674202146
1,2018-04-03 00:00:00,4.5595484279,0.640899400968,0.156293665652
2,2018-04-03 00:00:00,4.55946564669,0.640968490654,0.156293665652
3,2018-04-03 00:00:00,4.55897986122,0.641666050635,0.156293665652
4,2018-04-03 00:00:00,4.55807774092,0.641136096451,0.156293665652
5,2018-04-03 00:00:00,4.55912174057,0.640472554635,0.156293665652
6,2018-04-03 00:00:00,4.56029406472,0.641501914841,0.156293665652
7,2018-04-03 00:00:00,4.55902111568,0.641127176678,0.156293665652
8,2018-04-03 00:00:00,4.56031294758,0.641088839368,0.156293665652
9,2018-04-03 00:00:00,4.55995140093,0.640830483343,0.156293665652
1,2018-05-08 00:00:00,4.65036405807,0.638648518274,0.115496684065
2,2018-05-08 00:00:00,4.65023779435,0.638491102063,0.115496684065
3,2018-05-08 00:00:00,4.65017737785,0.638373554911,0.115496684065
4,2018-05-08 00:00:00,4.65020050609,0.638520384808,0.115496684065
5,2018-05-08 00:00:00,4.6507603131,0.639024136967,0.115496684065
6,2018-05-08 00:00:00,4.65149019268,0.638281711489,0.115496684065
7,2018-05-08 00:00:00,4.65037219935,0.63832282136,0.115496684065
8,2018-05-08 00:00:00,4.6507036891,0.638597068721,0.115496684065
9,2018-05-08 00:00:00,4.65075060401,0.638221484078,0.115496684065
